year,quarter,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1995,1,-0.17166666666666666,0.05566666666666668,0.285,0.19333333333333336,-0.122,-0.19366666666666665,-0.07400000000000002,-0.343,-0.24800000000000003,-0.6106666666666667,-0.5136666666666666,-0.614,-0.16066666666666665,-0.299,-0.48500000000000004,-0.09666666666666668,-0.506
1995,2,0.19733333333333333,0.19633333333333333,0.4106666666666667,0.6076666666666667,1.0136666666666667,1.0073333333333332,0.6616666666666667,0.7523333333333334,1.345,1.1596666666666666,0.665,0.88,0.5396666666666666,0.19599999999999998,0.38000000000000006,0.18166666666666667,0.005333333333333331
1995,3,0.26133333333333336,0.28,0.303,0.46166666666666667,0.7863333333333333,0.8836666666666667,0.528,0.4633333333333333,0.9446666666666665,0.8500000000000001,0.5463333333333333,0.6203333333333333,0.5286666666666667,0.2803333333333333,0.353,0.21733333333333335,0.09166666666666667
1995,4,0.05766666666666667,0.20366666666666666,0.30433333333333334,0.27466666666666667,0.3103333333333333,0.41133333333333333,0.2826666666666667,0.065,0.42300000000000004,0.236,-0.14300000000000002,-0.25533333333333336,-0.02733333333333332,-0.2233333333333333,-0.287,-0.09933333333333333,-0.395
1996,1,0.15866666666666665,0.3016666666666667,0.3793333333333333,0.4043333333333334,0.3506666666666667,0.4183333333333333,0.24033333333333337,0.15266666666666664,0.41300000000000003,0.507,-0.3053333333333333,0.03633333333333333,0.008333333333333323,-0.22166666666666665,-0.20766666666666667,0.019999999999999993,-0.11133333333333333
1996,2,0.2786666666666667,0.38633333333333336,0.39366666666666666,0.5746666666666667,0.898,0.8926666666666666,0.9249999999999999,0.753,1.494,1.2406666666666666,0.6869999999999999,0.6829999999999999,0.6329999999999999,0.044000000000000004,0.16666666666666666,0.11533333333333334,-0.073
1996,3,0.22066666666666668,0.209,0.21833333333333335,0.305,0.5379999999999999,0.5276666666666667,0.5476666666666666,0.4836666666666667,1.0523333333333333,0.981,0.7183333333333334,0.8386666666666667,0.7076666666666668,0.37433333333333335,0.4283333333333334,0.3476666666666666,0.26266666666666666
1996,4,0.27566666666666667,0.22966666666666666,0.2966666666666667,0.38366666666666666,0.545,0.43366666666666664,0.19800000000000004,0.061,0.37166666666666665,0.05966666666666668,-0.11133333333333333,-0.11266666666666669,0.05000000000000001,-0.11566666666666668,-0.12,0.02366666666666666,-0.18333333333333335
1997,1,0.20166666666666666,0.244,0.39366666666666666,0.4366666666666667,0.7120000000000001,0.7313333333333333,0.6613333333333333,0.3486666666666666,0.8583333333333334,0.754,0.08333333333333333,0.264,0.2663333333333333,-0.20933333333333334,-0.09799999999999999,-0.042,-0.2813333333333334
1997,2,0.4756666666666667,0.31066666666666665,0.4066666666666667,0.5613333333333334,0.8863333333333333,0.8696666666666667,0.7776666666666667,0.6493333333333333,1.3153333333333335,0.9973333333333333,0.4413333333333333,0.6063333333333333,0.445,0.07233333333333333,0.19899999999999998,0.08800000000000001,0.002333333333333331
